"species","genus","rec_gbif"
"Amazilia tzacatl","Amazilia",6214
"Saucerottia saucerottei","Saucerottia",5854
"Florisuga mellivora","Florisuga",4970
"Colibri delphinae","Colibri",3056
"Ocreatus underwoodii","Ocreatus",3014
"Anthracothorax nigricollis","Anthracothorax",2954
"Phaethornis guy","Phaethornis",2797
"Uranomitra franciae","Uranomitra",2768
"Calliphlox mitchellii","Calliphlox",2455
"Aglaiocercus kingii","Aglaiocercus",2371
"Heliodoxa rubinoides","Heliodoxa",2351
"Adelomyia melanogenys","Adelomyia",2297
"Coeligena coeligena","Coeligena",2276
"Chlorostilbon melanorhynchus","Chlorostilbon",2208
"Thalurania colombica","Thalurania",2014
"Boissonneaua flavescens","Boissonneaua",1361
"Chrysuronia grayi","Chrysuronia",1019
"Haplophaedia aureliae","Haplophaedia",856
"Phaethornis syrmatophorus","Phaethornis",801
"Colibri coruscans","Colibri",686
"Heliomaster longirostris","Heliomaster",458
"Colibri cyanotus","Colibri",345
"Coeligena torquata","Coeligena",237
"Schistes albogularis","Schistes",227
"Chaetocercus mulsant","Chaetocercus",196
"Urochroa bougueri","Urochroa",181
"Aglaiocercus coelestis","Aglaiocercus",141
"Heliangelus exortis","Heliangelus",122
"Doryfera ludovicae","Doryfera",100
"Chalybura buffonii","Chalybura",98
"Metallura tyrianthina","Metallura",65
"Glaucis hirsutus","Glaucis",52
"Heliodoxa jacula","Heliodoxa",52
"Chrysolampis mosquitus","Chrysolampis",43
"Ensifera ensifera","Ensifera",41
"Aglaeactis cupripennis","Aglaeactis",36
"Lafresnaya lafresnayi","Lafresnaya",32
"Ramphomicron microrhynchum","Ramphomicron",25
"Eriocnemis mosquera","Eriocnemis",19
"Eutoxeres aquila","Eutoxeres",18
"Chlorostilbon mellisugus","Chlorostilbon",17
"Discosura conversii","Discosura",14
"Coeligena wilsoni","Coeligena",13
"Eriocnemis vestita","Eriocnemis",12
"Chaetocercus heliodor","Chaetocercus",11
"Heliothryx barroti","Heliothryx",10
"Threnetes ruckeri","Threnetes",10
"Chalcostigma herrani","Chalcostigma",10
"Chlorostilbon gibsoni","Chlorostilbon",9
"Metallura williami","Metallura",9
"Phaethornis yaruqui","Phaethornis",9
NULL,"Florisuga",8
"Heliodoxa imperatrix","Heliodoxa",7
"Coeligena lutetiae","Coeligena",6
"Boissonneaua jardini","Boissonneaua",6
"Schistes geoffroyi","Schistes",6
"Androdon aequatorialis","Androdon",5
"Phaethornis striigularis","Phaethornis",5
"Colibri thalassinus","Colibri",5
"Anthracothorax prevostii","Anthracothorax",4
"Thalurania furcata","Thalurania",4
"Lesbia nuna","Lesbia",4
"Phaethornis longuemareus","Phaethornis",3
"Eriocnemis derbyi","Eriocnemis",2
"Haplophaedia lugens","Haplophaedia",2
"Pterophanes cyanopterus","Pterophanes",2
"Coeligena phalerata","Coeligena",2
"Chlorestes julie","Chlorestes",1
NULL,"Phaethornis",1
"Chalybura urochrysia","Chalybura",1
NULL,"Coeruleomitra",1
"Polyerata rosenbergi","Polyerata",1
NULL,"Haplophaedia",1
NULL,"Thalurania",1
"Heliodoxa gularis","Heliodoxa",1
